chord	countChord	songTitle
Em	16	Black Smoke Rising
D	36	Black Smoke Rising
Bm	14	Black Smoke Rising
C	38	Black Smoke Rising
B	8	Black Smoke Rising
G	16	Black Smoke Rising
Am	9	Black Smoke Rising
Dadd4add9	9	Black Smoke Rising
A	50	Flower Power
D	50	Flower Power
F	2	Flower Power
G	20	Flower Power
F#	18	Edge of Darkness
A	34	Edge of Darkness
D	36	Edge of Darkness
E	6	Edge of Darkness
G	20	Edge of Darkness
A	41	Safari Song
G	42	Safari Song
D	42	Safari Song
E	8	Highway Tune
A	3	Highway Tune
B	3	Highway Tune
F	6	A Change Is Gonna Come
E	6	A Change Is Gonna Come
Am	14	A Change Is Gonna Come
C	9	A Change Is Gonna Come
Dm	12	A Change Is Gonna Come
G	1	A Change Is Gonna Come
G#m	32	Talk on the Street
F#	41	Talk on the Street
C#	22	Talk on the Street
E	41	Talk on the Street
B	16	Talk on the Street
F#/C#	16	Talk on the Street
